早籼稻1307
燃料油1710
大成添益交易型货币E
深证公用
镍1608
甲醇808
四创电子
天晟新材
赢合科技
内地基建
劲嘉股份
动力煤指数连续
三力士
胶合板1405
吴通控股
焦煤1712
钱江30
线材1411
锰硅712
动力煤711
景顺长城鼎益混合(LOF)
飞凯材料
线材1106
新宏泰
南方中证高铁产业指数分级A
棉纱807
科融环境
菜籽粕809
闽发铝业
豆粕0901
棉花1109
铅1605
石油沥青1405
云南能投
天然橡胶0505
界龙实业
白银1405
国寿养老A
易方达并购重组B
豆粕1209
旷达科技
理工环科
东吴转债A
银华鑫瑞
达志科技
粳稻谷主力连续
10年期国债1709
动力煤1411
长春高新
奥特佳
棕榈油1407
西藏发展
沪深1512
科技100
景顺长城资源垄断混合(LOF)
四维图新
棉花0510
*ST众和
铜0905
普麦1601
龙宇燃油
光明地产
绿豆0111
铝0008
豆油0612
金圆股份
海富通稳进增利分级债券A
白糖1107
沪深1405
聚氯乙烯0910
欧菲科技
朗姿股份
新指数
380红利
早籼稻1209
沪公用红
锌主力连续
铜0708
创业板EW
豆二1505
燃料油0806
元力股份
棕榈油1610
铝1009
兴民智通
上证1609
*ST花雕
燃料油0705
中恒集团
铁矿石主力连续
申万中小板(LOF)
帝龙文化
50等权
玉米淀粉1609
海富通稳进增利债券(LOF)
漳州发展
宁波高发
沪深1308
菜籽油1209
安居宝
三全食品
线材1108
广发添利货币ETFA
法尔胜
锌1001
西昌电力
天然橡胶0709
聚乙烯1608
银之杰
秋林集团
济川药业
铁矿石1703
上证1510
玉米淀粉1809
石油沥青1503
基本面50
天目湖
好太太
亚泰集团
香江控股
茶花股份
美利云
景顺长城中证500ETF
博时睿远事件驱动混合(LOF)
锌1404
聚氯乙烯1602
深证成长
大康农业
PTA1509
硅铁707
新凤鸣
豆油0812
融通通福(LOF)A
800动量
纤维板主力连续
甲醇1703
线材1109
广发深证100指数分级A
上海电气
铝0612
柯利达
国债1412
洋河股份
普麦1409
天然橡胶0504
中证流通
华友钴业
红旗连锁
棕榈油0812
IF1708
聚氯乙烯1601
福建高速
葛洲坝
石油沥青1404
铝0103
中金黄金
热轧卷板1507
菲达环保
广东榕泰
辉丰股份
聚丙烯1704
硅铁1610
宁波精达
葵花药业
黄金1703
长信利众分级债B
精对苯二甲酸705
铜0205
华泰柏瑞上证中小盘ETF
铜0605
沱牌舍得
绿豆0409
线材1806
甲醇1209
强麦1303
顾家家居
太阳鸟
际华集团
黄金0902
南方中证50债券指数(LOF)A
红利指数
歌力思
玻璃1404
180医药
天然橡胶1806
大豆0005
开能环保
新通联
*ST嘉陵
仙琚制药
纤维板1601
新开源
铜1005
豆粕0303
上实发展
铝0101
国泰中证全指证券公司ETF
木林森
嘉麟杰
*ST钒钛
天然橡胶0609
万林股份
丹邦科技
胶合板1703
聚乙烯1302
沪深1612
豆粕1705
农林牧渔指数
油菜籽主力连续
棉花0911
S山东铝
动力煤1409
硬麦0201
180基建
青岛啤酒
信诚中证500指数分级B
西安旅游
南方中证银行ETF
诺德双翼分级债券B
黄金0806
深证绩效
铝1406
浙江东方
古井贡酒
富国中证娱乐主题指数增强型(LOF)
景顺长城上证180等权重ETF
中润资源
华建集团
天然橡胶1004
早籼稻1011
豆一1403
国脉科技
黄金1303
燃料油0812
豆油1605
PTA0706
豆二0609
新城控股
罗顿发展
豆粕1501
中南文化
硬麦0105
细木工板1809
宝钢包装
天然橡胶0803
动力煤1408
铅1401
绿豆0501
黄金1707
威孚高科
棕榈油主力连续价差平滑
华舟应急
热轧卷板1504
*ST二重
华泰柏瑞中证500ETF
上证全指
湖南天雁
动力煤809
中国科传
贝肯能源
玉米1701
豆二1209
海伦哲
聚乙烯1108
聚氯乙烯1612
燃料油1403
三超新材
PTA1105
章源钨业
早籼稻809
黄金1812
聚氯乙烯1009
长江润发
阿科力
梦网集团
硅铁1510
亚翔集成
镍1706
白糖0803
聚乙烯0911
热轧卷板1603
新华百货
交银中证海外中国互联网指数
双林股份
铝1107
华安黄金易(ETF)
白糖1509
锌1308
铜1012
友讯达
富国天丰强化债券(LOF)
汇添富添富通货币E
泰达聚利债券(LOF)
玻璃801
焦煤1811
豆油1207
菜籽粕1611
富国天盈债券(LOF)
300波动
长盛同瑞B
黄金0901
新光圆成
易方达上证中盘ETF
绝味食品
豆粕1712
棉花0411
早籼稻1109
八一钢铁
青松股份
*ST金宇
恒通科技
原尚股份
强麦0307
锰硅1612
白糖1111
华远地产
1000材料
齐心集团
浙江广厦
细木工板1705
铝1401
东方园林
铅1301
焦煤1402
华夏中证500ETF
台基股份
设研院
棕榈油0906
国光电器
180信息
