date,name,circulation_a,management_circulation,non_circulation_a,total_a,total
2015/5/7,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/8,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/11,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/12,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/13,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/14,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/15,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/18,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/19,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/20,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/21,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/22,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/25,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/26,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/27,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/28,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/5/29,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/1,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/2,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/3,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/4,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/5,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/8,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/9,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/10,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/11,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/12,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/15,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/16,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/17,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/18,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/19,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/23,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/24,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/25,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/26,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/29,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/6/30,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/1,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/2,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/3,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/6,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/7,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/8,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/9,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/10,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/13,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/14,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/15,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/16,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/17,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/20,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/21,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/22,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/23,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/24,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/27,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/28,浦发银行,14922777132,,3730694283,18653471415,18653471415
